state_code,state_name,lga_code,lga_name
8,Australian Capital Territory,89399,Unincorporated ACT
8,Australian Capital Territory,89499,No usual address
8,Australian Capital Territory,89799,Migratory - Offshore - Shipping
1,New South Wales,10050,Albury
1,New South Wales,10130,Armidale Regional
1,New South Wales,10250,Ballina
1,New South Wales,10300,Balranald
1,New South Wales,10470,Bathurst Regional
1,New South Wales,10500,Bayside
1,New South Wales,10550,Bega Valley
1,New South Wales,10600,Bellingen
1,New South Wales,10650,Berrigan
1,New South Wales,10750,Blacktown
1,New South Wales,10800,Bland
1,New South Wales,10850,Blayney
1,New South Wales,10900,Blue Mountains
1,New South Wales,10950,Bogan
1,New South Wales,11150,Bourke
1,New South Wales,11200,Brewarrina
1,New South Wales,11250,Broken Hill
1,New South Wales,11300,Burwood
1,New South Wales,11350,Byron
1,New South Wales,11400,Cabonne
1,New South Wales,11450,Camden
1,New South Wales,11500,Campbelltown
1,New South Wales,11520,Canada Bay
1,New South Wales,11570,Canterbury-Bankstown
1,New South Wales,11600,Carrathool
1,New South Wales,11650,Central Coast
1,New South Wales,11700,Central Darling
1,New South Wales,11720,Cessnock
1,New South Wales,11730,Clarence Valley
1,New South Wales,11750,Cobar
1,New South Wales,11800,Coffs Harbour
1,New South Wales,12000,Coolamon
1,New South Wales,12150,Coonamble
1,New South Wales,12160,Cootamundra-Gundagai Regional
1,New South Wales,12350,Cowra
1,New South Wales,12380,Cumberland
1,New South Wales,12390,Dubbo Regional
1,New South Wales,12700,Dungog
1,New South Wales,12730,Edward River
1,New South Wales,12750,Eurobodalla
1,New South Wales,12850,Fairfield
1,New South Wales,12870,Federation
1,New South Wales,12900,Forbes
1,New South Wales,12930,Georges River
1,New South Wales,12950,Gilgandra
1,New South Wales,13010,Glen Innes Severn
1,New South Wales,13310,Goulburn Mulwaree
1,New South Wales,13340,Greater Hume Shire
1,New South Wales,13450,Griffith
1,New South Wales,13550,Gunnedah
1,New South Wales,13660,Gwydir
1,New South Wales,13800,Hawkesbury
1,New South Wales,13850,Hay
1,New South Wales,13910,Hilltops
1,New South Wales,14000,Hornsby
1,New South Wales,14100,Hunters Hill
1,New South Wales,14170,Inner West
1,New South Wales,14200,Inverell
1,New South Wales,14300,Junee
1,New South Wales,14350,Kempsey
1,New South Wales,14400,Kiama
1,New South Wales,14500,Ku-ring-gai
1,New South Wales,14550,Kyogle
1,New South Wales,14600,Lachlan
1,New South Wales,14650,Lake Macquarie
1,New South Wales,14700,Lane Cove
1,New South Wales,14750,Leeton
1,New South Wales,14850,Lismore
1,New South Wales,14870,Lithgow
1,New South Wales,14900,Liverpool
1,New South Wales,14920,Liverpool Plains
1,New South Wales,14950,Lockhart
1,New South Wales,15050,Maitland
1,New South Wales,15240,Mid-Coast
1,New South Wales,15270,Mid-Western Regional
1,New South Wales,15300,Moree Plains
1,New South Wales,15350,Mosman
1,New South Wales,15520,Murray River
1,New South Wales,15560,Murrumbidgee
1,New South Wales,15650,Muswellbrook
1,New South Wales,15700,Nambucca
1,New South Wales,15750,Narrabri
1,New South Wales,15800,Narrandera
1,New South Wales,15850,Narromine
1,New South Wales,15900,Newcastle
1,New South Wales,15950,North Sydney
1,New South Wales,15990,Northern Beaches
1,New South Wales,16100,Oberon
1,New South Wales,16150,Orange
1,New South Wales,16200,Parkes
1,New South Wales,16260,Parramatta
1,New South Wales,16350,Penrith
1,New South Wales,16380,Port Macquarie-Hastings
1,New South Wales,16400,Port Stephens
1,New South Wales,16490,Queanbeyan-Palerang Regional
1,New South Wales,16550,Randwick
1,New South Wales,16610,Richmond Valley
1,New South Wales,16700,Ryde
1,New South Wales,16900,Shellharbour
1,New South Wales,16950,Shoalhaven
1,New South Wales,17000,Singleton
1,New South Wales,17040,Snowy Monaro Regional
1,New South Wales,17080,Snowy Valleys
1,New South Wales,17100,Strathfield
1,New South Wales,17150,Sutherland Shire
1,New South Wales,17200,Sydney
1,New South Wales,17310,Tamworth Regional
1,New South Wales,17350,Temora
1,New South Wales,17400,Tenterfield
1,New South Wales,17420,The Hills Shire
1,New South Wales,17550,Tweed
1,New South Wales,17620,Upper Hunter Shire
1,New South Wales,17640,Upper Lachlan Shire
1,New South Wales,17650,Uralla
1,New South Wales,17750,Wagga Wagga
1,New South Wales,17850,Walcha
1,New South Wales,17900,Walgett
1,New South Wales,17950,Warren
1,New South Wales,18020,Warrumbungle Shire
1,New South Wales,18050,Waverley
1,New South Wales,18100,Weddin
1,New South Wales,18200,Wentworth
1,New South Wales,18250,Willoughby
1,New South Wales,18350,Wingecarribee
1,New South Wales,18400,Wollondilly
1,New South Wales,18450,Wollongong
1,New South Wales,18500,Woollahra
1,New South Wales,18710,Yass Valley
1,New South Wales,19399,Unincorporated NSW
1,New South Wales,19499,No usual address
1,New South Wales,19799,Migratory - Offshore - Shipping
7,Northern Territory,70200,Alice Springs
7,Northern Territory,70420,Barkly
7,Northern Territory,70540,Belyuen
7,Northern Territory,70620,Central Desert
7,Northern Territory,70700,Coomalie
7,Northern Territory,71000,Darwin
7,Northern Territory,71300,East Arnhem
7,Northern Territory,72200,Katherine
7,Northern Territory,72300,Litchfield
7,Northern Territory,72330,MacDonnell
7,Northern Territory,72800,Palmerston
7,Northern Territory,73600,Roper Gulf
7,Northern Territory,74050,Tiwi Islands
7,Northern Territory,74550,Victoria Daly
7,Northern Territory,74560,Wagait
7,Northern Territory,74660,West Arnhem
7,Northern Territory,74680,West Daly
7,Northern Territory,79399,Unincorporated NT
7,Northern Territory,79499,No usual address
7,Northern Territory,79799,Migratory - Offshore - Shipping
9,Other Territories,99399,Unincorp. Other Territories
9,Other Territories,99499,No usual address
9,Other Territories,99799,Migratory - Offshore - Shipping
3,Queensland,30250,Aurukun
3,Queensland,30300,Balonne
3,Queensland,30370,Banana
3,Queensland,30410,Barcaldine
3,Queensland,30450,Barcoo
3,Queensland,30760,Blackall-Tambo
3,Queensland,30900,Boulia
3,Queensland,31000,Brisbane
3,Queensland,31750,Bulloo
3,Queensland,31820,Bundaberg
3,Queensland,31900,Burdekin
3,Queensland,31950,Burke
3,Queensland,32080,Cairns
3,Queensland,32250,Carpentaria
3,Queensland,32260,Cassowary Coast
3,Queensland,32270,Central Highlands
3,Queensland,32310,Charters Towers
3,Queensland,32330,Cherbourg
3,Queensland,32450,Cloncurry
3,Queensland,32500,Cook
3,Queensland,32600,Croydon
3,Queensland,32750,Diamantina
3,Queensland,32770,Doomadgee
3,Queensland,32810,Douglas
3,Queensland,33100,Etheridge
3,Queensland,33200,Flinders
3,Queensland,33220,Fraser Coast
3,Queensland,33360,Gladstone
3,Queensland,33430,Gold Coast
3,Queensland,33610,Goondiwindi
3,Queensland,33620,Gympie
3,Queensland,33800,Hinchinbrook
3,Queensland,33830,Hope Vale
3,Queensland,33960,Ipswich
3,Queensland,33980,Isaac
3,Queensland,34420,Kowanyama
3,Queensland,34530,Livingstone
3,Queensland,34570,Lockhart River
3,Queensland,34580,Lockyer Valley
3,Queensland,34590,Logan
3,Queensland,34710,Longreach
3,Queensland,34770,Mackay
3,Queensland,34800,McKinlay
3,Queensland,34830,Mapoon
3,Queensland,34860,Maranoa
3,Queensland,34880,Mareeba
3,Queensland,35010,Moreton Bay
3,Queensland,35250,Mornington
3,Queensland,35300,Mount Isa
3,Queensland,35600,Murweh
3,Queensland,35670,Napranum
3,Queensland,35740,Noosa
3,Queensland,35760,North Burnett
3,Queensland,35780,Northern Peninsula Area
3,Queensland,35790,Palm Island
3,Queensland,35800,Paroo
3,Queensland,36070,Pormpuraaw
3,Queensland,36150,Quilpie
3,Queensland,36250,Redland
3,Queensland,36300,Richmond
3,Queensland,36370,Rockhampton
3,Queensland,36510,Scenic Rim
3,Queensland,36580,Somerset
3,Queensland,36630,South Burnett
3,Queensland,36660,Southern Downs
3,Queensland,36720,Sunshine Coast
3,Queensland,36820,Tablelands
3,Queensland,36910,Toowoomba
3,Queensland,36950,Torres
3,Queensland,36960,Torres Strait Island
3,Queensland,37010,Townsville
3,Queensland,37300,Weipa
3,Queensland,37310,Western Downs
3,Queensland,37340,Whitsunday
3,Queensland,37400,Winton
3,Queensland,37550,Woorabinda
3,Queensland,37570,Wujal Wujal
3,Queensland,37600,Yarrabah
3,Queensland,39499,No usual address
3,Queensland,39799,Migratory - Offshore - Shipping
4,South Australia,40070,Adelaide
4,South Australia,40120,Adelaide Hills
4,South Australia,40150,Adelaide Plains
4,South Australia,40220,Alexandrina
4,South Australia,40250,Anangu Pitjantjatjara
4,South Australia,40310,Barossa
4,South Australia,40430,Barunga West
4,South Australia,40520,Berri and Barmera
4,South Australia,40700,Burnside
4,South Australia,40910,Campbelltown
4,South Australia,41010,Ceduna
4,South Australia,41060,Charles Sturt
4,South Australia,41140,Clare and Gilbert Valleys
4,South Australia,41190,Cleve
4,South Australia,41330,Coober Pedy
4,South Australia,41560,Copper Coast
4,South Australia,41750,Elliston
4,South Australia,41830,Flinders Ranges
4,South Australia,41960,Franklin Harbour
4,South Australia,42030,Gawler
4,South Australia,42110,Goyder
4,South Australia,42250,Grant
4,South Australia,42600,Holdfast Bay
4,South Australia,42750,Kangaroo Island
4,South Australia,43080,Karoonda East Murray
4,South Australia,43220,Kimba
4,South Australia,43360,Kingston
4,South Australia,43650,Light
4,South Australia,43710,Lower Eyre Peninsula
4,South Australia,43790,Loxton Waikerie
4,South Australia,44000,Maralinga Tjarutja
4,South Australia,44060,Marion
4,South Australia,44210,Mid Murray
4,South Australia,44340,Mitcham
4,South Australia,44550,Mount Barker
4,South Australia,44620,Mount Gambier
4,South Australia,44830,Mount Remarkable
4,South Australia,45040,Murray Bridge
4,South Australia,45090,Naracoorte and Lucindale
4,South Australia,45120,Northern Areas
4,South Australia,45290,Norwood Payneham St Peters
4,South Australia,45340,Onkaparinga
4,South Australia,45400,Orroroo/Carrieton
4,South Australia,45540,Peterborough
4,South Australia,45680,Playford
4,South Australia,45890,Port Adelaide Enfield
4,South Australia,46090,Port Augusta
4,South Australia,46300,Port Lincoln
4,South Australia,46450,Port Pirie City and Dists
4,South Australia,46510,Prospect
4,South Australia,46670,Renmark Paringa
4,South Australia,46860,Robe
4,South Australia,46970,Roxby Downs
4,South Australia,47140,Salisbury
4,South Australia,47290,Southern Mallee
