state_code,state_name,district_code,district_name
1,Jammu & Kashmir,1,Kupwara
1,Jammu & Kashmir,2,Badgam
1,Jammu & Kashmir,3,Leh(Ladakh)
1,Jammu & Kashmir,4,Kargil
1,Jammu & Kashmir,5,Punch
1,Jammu & Kashmir,6,Rajouri
1,Jammu & Kashmir,7,Kathua
1,Jammu & Kashmir,8,Baramula
1,Jammu & Kashmir,9,Bandipore
1,Jammu & Kashmir,10,Srinagar
1,Jammu & Kashmir,11,Ganderbal
1,Jammu & Kashmir,12,Pulwama
1,Jammu & Kashmir,13,Shupiyan
1,Jammu & Kashmir,14,Anantnag
1,Jammu & Kashmir,15,Kulgam
1,Jammu & Kashmir,16,Doda
1,Jammu & Kashmir,17,Ramban
1,Jammu & Kashmir,18,Kishtwar
1,Jammu & Kashmir,19,Udhampur
1,Jammu & Kashmir,20,Reasi
1,Jammu & Kashmir,21,Jammu
1,Jammu & Kashmir,22,Samba
2,Himachal Pradesh,23,Chamba
2,Himachal Pradesh,24,Kangra
2,Himachal Pradesh,25,Lahul & Spiti
2,Himachal Pradesh,26,Kullu
2,Himachal Pradesh,27,Mandi
2,Himachal Pradesh,28,Hamirpur
2,Himachal Pradesh,29,Una
2,Himachal Pradesh,30,Bilaspur
2,Himachal Pradesh,31,Solan
2,Himachal Pradesh,32,Sirmaur
2,Himachal Pradesh,33,Shimla
2,Himachal Pradesh,34,Kinnaur
3,Punjab,35,Gurdaspur
3,Punjab,36,Kapurthala
3,Punjab,37,Jalandhar
3,Punjab,38,Hoshiarpur
3,Punjab,39,Shahid Bhagat Singh Nagar
3,Punjab,40,Fatehgarh Sahib
3,Punjab,41,Ludhiana
3,Punjab,42,Moga
3,Punjab,43,Firozpur
3,Punjab,44,Muktsar
3,Punjab,45,Faridkot
3,Punjab,46,Bathinda
3,Punjab,47,Mansa
3,Punjab,48,Patiala
3,Punjab,49,Amritsar
3,Punjab,50,Tarn Taran
3,Punjab,51,Rupnagar
3,Punjab,52,Sahibzada Ajit Singh Nagar
3,Punjab,53,Sangrur
3,Punjab,54,Barnala
4,Chandigarh,55,Chandigarh
5,Uttarakhand,56,Uttarkashi
5,Uttarakhand,57,Chamoli
5,Uttarakhand,58,Rudraprayag
5,Uttarakhand,59,Tehri Garhwal
5,Uttarakhand,60,Dehradun
5,Uttarakhand,61,Garhwal
5,Uttarakhand,62,Pithoragarh
5,Uttarakhand,63,Bageshwar
5,Uttarakhand,64,Almora
5,Uttarakhand,65,Champawat
5,Uttarakhand,66,Nainital
5,Uttarakhand,67,Udham Singh Nagar
5,Uttarakhand,68,Hardwar
6,Haryana,69,Panchkula
6,Haryana,70,Ambala
6,Haryana,71,Yamunanagar
6,Haryana,72,Kurukshetra
6,Haryana,73,Kaithal
6,Haryana,74,Karnal
6,Haryana,75,Panipat
6,Haryana,76,Sonipat
6,Haryana,77,Jind
6,Haryana,78,Fatehabad
6,Haryana,79,Sirsa
6,Haryana,80,Hisar
6,Haryana,81,Bhiwani
6,Haryana,82,Rohtak
6,Haryana,83,Jhajjar
6,Haryana,84,Mahendragarh
6,Haryana,85,Rewari
6,Haryana,86,Gurgaon
6,Haryana,87,Mewat
6,Haryana,88,Faridabad
6,Haryana,89,Palwal
7,Delhi,90,North West
7,Delhi,91,North
7,Delhi,92,North East
7,Delhi,93,East
7,Delhi,94,New Delhi
7,Delhi,95,Central
7,Delhi,96,West
7,Delhi,97,South West
7,Delhi,98,South
8,Rajasthan,99,Ganganagar
8,Rajasthan,100,Hanumangarh
8,Rajasthan,101,Bikaner
8,Rajasthan,102,Churu
8,Rajasthan,103,Jhunjhunun
8,Rajasthan,104,Alwar
8,Rajasthan,105,Bharatpur
8,Rajasthan,106,Dhaulpur
8,Rajasthan,107,Karauli
8,Rajasthan,108,Sawai Madhopur
8,Rajasthan,109,Dausa
8,Rajasthan,110,Jaipur
8,Rajasthan,111,Sikar
8,Rajasthan,112,Nagaur
8,Rajasthan,113,Jodhpur
8,Rajasthan,114,Jaisalmer
8,Rajasthan,115,Barmer
8,Rajasthan,116,Jalor
8,Rajasthan,117,Sirohi
8,Rajasthan,118,Pali
8,Rajasthan,119,Ajmer
8,Rajasthan,120,Tonk
8,Rajasthan,121,Bundi
8,Rajasthan,122,Bhilwara
8,Rajasthan,123,Rajsamand
8,Rajasthan,124,Dungarpur
8,Rajasthan,125,Banswara
8,Rajasthan,126,Chittaurgarh
8,Rajasthan,127,Kota
8,Rajasthan,128,Baran
8,Rajasthan,129,Jhalawar
8,Rajasthan,130,Udaipur
8,Rajasthan,131,Pratapgarh
9,Uttar Pradesh,132,Saharanpur
9,Uttar Pradesh,133,Muzaffarnagar
9,Uttar Pradesh,134,Bijnor
9,Uttar Pradesh,135,Moradabad
9,Uttar Pradesh,136,Rampur
9,Uttar Pradesh,137,Jyotiba Phule Nagar
9,Uttar Pradesh,138,Meerut
9,Uttar Pradesh,139,Baghpat
9,Uttar Pradesh,140,Ghaziabad
9,Uttar Pradesh,141,Gautam Buddha Nagar
9,Uttar Pradesh,142,Bulandshahr
9,Uttar Pradesh,143,Aligarh
9,Uttar Pradesh,144,Mahamaya Nagar
9,Uttar Pradesh,145,Mathura
9,Uttar Pradesh,146,Agra
9,Uttar Pradesh,147,Firozabad
9,Uttar Pradesh,148,Mainpuri
9,Uttar Pradesh,149,Budaun
9,Uttar Pradesh,150,Bareilly
9,Uttar Pradesh,151,Pilibhit
