country_name,province_code,province_name,district_code,district_name
Cambodia,2,Battambang,205,Aek Phnum
Cambodia,16,Ratanak Kiri,1601,Andoung Meas
Cambodia,8,Kandal,808,Angk Snuol
Cambodia,21,Takeo,2101,Angkor Borei
Cambodia,7,Kampot,701,Angkor Chey
Cambodia,17,Siem Reap,1701,Angkor Chum
Cambodia,17,Siem Reap,1702,Angkor Thum
Cambodia,22,Oddar Meanchey,2201,Anlong Veaeng
Cambodia,5,Kampong Speu,504,Aoral
Cambodia,14,Prey Veng,1401,Ba Phnum
Cambodia,15,Pursat,1501,Bakan
Cambodia,16,Ratanak Kiri,1602,Ban Lung
Cambodia,2,Battambang,201,Banan
Cambodia,22,Oddar Meanchey,2202,Banteay Ampil
Cambodia,7,Kampot,702,Banteay Meas
Cambodia,17,Siem Reap,1703,Banteay Srei
Cambodia,16,Ratanak Kiri,1603,Bar Kaev
Cambodia,6,Kampong Thom,601,Baray
Cambodia,4,Kampong Chhnang,401,Baribour
Cambodia,5,Kampong Speu,501,Basedth
Cambodia,3,Kampong Cham,301,Batheay
Cambodia,21,Takeo,2102,Bati
Cambodia,2,Battambang,203,Battambang
Cambodia,2,Battambang,204,Bavel
Cambodia,20,Svay Rieng,2008,Bavet
Cambodia,21,Takeo,2103,Borei Cholsar
Cambodia,9,Koh Kong,901,Botum Sakor
Cambodia,3,Kampong Cham,302,Chamkar Leu
Cambodia,12,Phnom Penh,1201,Chamkar Mon
Cambodia,20,Svay Rieng,2001,Chantrea
Cambodia,12,Phnom Penh,1212,Chbar Ampov
Cambodia,5,Kampong Speu,502,Chbar Mon
Cambodia,10,Kratie,1006,Chetr Borei
Cambodia,3,Kampong Cham,303,Cheung Prey
Cambodia,13,Preah Vihear,1301,Chey Saen
Cambodia,13,Preah Vihear,1302,Chhaeb
Cambodia,10,Kratie,1001,Chhloung
Cambodia,7,Kampot,703,Chhuk
Cambodia,17,Siem Reap,1704,Chi Kraeng
Cambodia,13,Preah Vihear,1303,Choam Ksant
Cambodia,4,Kampong Chhnang,402,Chol Kiri
Cambodia,22,Oddar Meanchey,2203,Chong Kal
Cambodia,12,Phnom Penh,1210,Chraoy Chongvar
Cambodia,7,Kampot,704,Chum Kiri
Cambodia,25,Tboung Khmum,2501,Dambae
Cambodia,23,Kep,2301,Damnak Chang'aeur
Cambodia,7,Kampot,705,Dang Tong
Cambodia,12,Phnom Penh,1205,Dangkao
Cambodia,21,Takeo,2108,Doun Kaev
Cambodia,12,Phnom Penh,1202,Doun Penh
Cambodia,23,Kep,2302,Kaeb
Cambodia,11,Mondul Kiri,1101,Kaev Seima
Cambodia,14,Prey Veng,1402,Kamchay Mear
Cambodia,3,Kampong Cham,305,Kampong Cham
Cambodia,4,Kampong Chhnang,403,Kampong Chhnang
Cambodia,4,Kampong Chhnang,404,Kampong Leaeng
Cambodia,20,Svay Rieng,2002,Kampong Rou
Cambodia,18,Preah Sihanouk,1804,Kampong Seila
Cambodia,3,Kampong Cham,306,Kampong Siem
Cambodia,6,Kampong Thom,602,Kampong Svay
Cambodia,14,Prey Veng,1403,Kampong Trabaek
Cambodia,7,Kampot,706,Kampong Trach
