region_code,region_name,province_code,province_level,province_name,citymuni_code,citymuni_name,citymuni_level
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12816000,Paoay,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12822000,Solsona,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12817000,Pasuquin,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12805000,City of Batac,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12803000,Badoc,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12813000,Marcos,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12818000,Piddig,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12821000,Sarrat,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12812000,City of Laoag (Capital),3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12801000,Adams,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12809000,Dingras,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12808000,Currimao,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12806000,Burgos,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12810000,Dumalneg,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12802000,Bacarra,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12811000,Banna (Espiritu),3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12804000,Bangui,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12815000,Pagudpud,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12807000,Carasi,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12823000,Vintar,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12819000,Pinili,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12814000,Nueva Era,3
10000000,Region I (Ilocos Region),12800000,2,Ilocos Norte,12820000,San Nicolas,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12906000,City of Candon,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12920000,San Juan (Lapog),3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12913000,Nagbukel,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12926000,Santa Maria,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12915000,Quirino (Angkaki),3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12924000,Santa Cruz,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12909000,Galimuyod,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12931000,Sugpon,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12912000,Magsingal,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12929000,Sigay,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12928000,Santo Domingo,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12925000,Santa Lucia,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12934000,City of Vigan (Capital),3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12902000,Banayoyo,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12917000,San Emilio,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12916000,Salcedo (Baugen),3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12904000,Burgos,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12927000,Santiago,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12919000,San Ildefonso,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12908000,Cervantes,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12932000,Suyo,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12922000,Santa,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12910000,Gregorio Del Pilar (Concepcion),3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12933000,Tagudin,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12930000,Sinait,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12921000,San Vicente,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12907000,Caoayan,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12918000,San Esteban,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12911000,Lidlidda,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12903000,Bantay,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12914000,Narvacan,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12923000,Santa Catalina,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12901000,Alilem,3
10000000,Region I (Ilocos Region),12900000,2,Ilocos Sur,12905000,Cabugao,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13310000,Luna,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13314000,City of San Fernando (Capital),3
10000000,Region I (Ilocos Region),13300000,2,La Union,13307000,Bauang,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13305000,Balaoan,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13319000,Sudipen,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13309000,Caba,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13315000,San Gabriel,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13302000,Aringay,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13311000,Naguilian,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13306000,Bangar,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13320000,Tubao,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13308000,Burgos,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13303000,Bacnotan,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13304000,Bagulin,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13301000,Agoo,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13316000,San Juan,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13317000,Santo Tomas,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13318000,Santol,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13313000,Rosario,3
10000000,Region I (Ilocos Region),13300000,2,La Union,13312000,Pugo,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15545000,Urbiztondo,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15507000,Balungao,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15505000,Anda,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15547000,Villasis,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15535000,San Manuel,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15503000,City of Alaminos,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15504000,Alcala,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15546000,City of Urdaneta,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15531000,Rosales,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15543000,Tayug,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15512000,Binalonan,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15517000,Calasiao,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15516000,Burgos,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15542000,Sual,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15541000,Sison,3
10000000,Region I (Ilocos Region),15500000,2,Pangasinan,15540000,Santo Tomas,3
