country_name,province_code,province_name,province_name_thai,district_code,district_name,district_name_thai
Thailand,47,Sakon Nakhon,สกลนคร,4711,Akat Amnuai,อากาศอำนวย
Thailand,75,Samut Songkhram,สมุทรสงคราม,7503,Amphawa,อัมพวา
Thailand,81,Krabi,กระบี่,8105,Ao Luek,อ่าวลึก
Thailand,27,Sa Kaeo,สระแก้ว,2706,Aranyaprathet,อรัญประเทศ
Thailand,45,Roi Et,ร้อยเอ็ด,4514,At Samat,อาจสามารถ
Thailand,96,Narathiwat,นราธิวาส,9603,Bacho,บาเจาะ
Thailand,36,Chaiyaphum,ชัยภูมิ,3607,Bamnet Narong,บำเหน็จณรงค์
Thailand,20,Chon Buri,ชลบุรี,2002,Ban Bueng,บ้านบึง
Thailand,21,Rayong,ระยอง,2102,Ban Chang,บ้านฉาง
Thailand,31,Buri Ram,บุรีรัมย์,3121,Ban Dan,บ้านด่าน
Thailand,64,Sukhothai,สุโขทัย,6402,Ban Dan Lan Hoi,บ้านด่านลานหอย
Thailand,41,Udon Thani,อุดรธานี,4111,Ban Dung,บ้านดุง
Thailand,40,Khon Kaen,ขอนแก่น,4002,Ban Fang,บ้านฝาง
Thailand,40,Khon Kaen,ขอนแก่น,4024,Ban Haet,บ้านแฮด
Thailand,51,Lamphun,ลำพูน,5103,Ban Hong,บ้านโฮ่ง
Thailand,70,Ratchaburi,ราชบุรี,7010,Ban Kha,บ้านคา
Thailand,21,Rayong,ระยอง,2105,Ban Khai,บ้านค่าย
Thailand,53,Uttaradit,อุตรดิตถ์,5306,Ban Khok,บ้านโคก
Thailand,36,Chaiyaphum,ชัยภูมิ,3602,Ban Khwao,บ้านเขว้า
Thailand,31,Buri Ram,บุรีรัมย์,3108,Ban Kruat,บ้านกรวด
Thailand,76,Phetchaburi,เพชรบุรี,7607,Ban Laem,บ้านแหลม
Thailand,76,Phetchaburi,เพชรบุรี,7606,Ban Lat,บ้านลาด
Thailand,55,Nan,น่าน,5503,Ban Luang,บ้านหลวง
Thailand,30,Nakhon Ratchasima,นครราชสีมา,3005,Ban Lueam,บ้านเหลื่อม
Thailand,31,Buri Ram,บุรีรัมย์,3119,Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์
Thailand,16,Lop Buri,ลพบุรี,1606,Ban Mi,บ้านหมี่
Thailand,19,Saraburi,สระบุรี,1906,Ban Mo,บ้านหมอ
Thailand,47,Sakon Nakhon,สกลนคร,4710,Ban Muang,บ้านม่วง
Thailand,26,Nakhon Nayok,นครนายก,2603,Ban Na,บ้านนา
Thailand,84,Surat Thani,สุราษฎร์ธานี,8413,Ban Na Doem,บ้านนาเดิม
Thailand,84,Surat Thani,สุราษฎร์ธานี,8412,Ban Na San,บ้านนาสาร
Thailand,48,Nakhon Phanom,นครพนม,4804,Ban Phaeng,บ้านแพง
Thailand,74,Samut Sakhon,สมุทรสาคร,7403,Ban Phaeo,บ้านแพ้ว
Thailand,40,Khon Kaen,ขอนแก่น,4010,Ban Phai,บ้านไผ่
Thailand,24,Chachoengsao,ฉะเชิงเทรา,2405,Ban Pho,บ้านโพธิ์
Thailand,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,1416,Ban Phraek,บ้านแพรก
Thailand,41,Udon Thani,อุดรธานี,4117,Ban Phue,บ้านผือ
Thailand,70,Ratchaburi,ราชบุรี,7005,Ban Pong,บ้านโป่ง
Thailand,61,Uthai Thani,อุทัยธานี,6106,Ban Rai,บ้านไร่
Thailand,25,Prachin Buri,ปราจีนบุรี,2506,Ban Sang,บ้านสร้าง
Thailand,84,Surat Thani,สุราษฎร์ธานี,8409,Ban Ta Khun,บ้านตาขุน
Thailand,63,Tak,ตาก,6302,Ban Tak,บ้านตาก
Thailand,36,Chaiyaphum,ชัยภูมิ,3611,Ban Thaen,บ้านแท่น
Thailand,51,Lamphun,ลำพูน,5107,Ban Thi,บ้านธิ
Thailand,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,1405,Bang Ban,บางบาล
Thailand,11,Samut Prakan,สมุทรปราการ,1102,Bang Bo,บางบ่อ
Thailand,10,Bangkok,กรุงเทพมหานคร,1050,Bang Bon,บางบอน
Thailand,12,Nonthaburi,นนทบุรี,1204,Bang Bua Thong,บางบัวทอง
Thailand,93,Phatthalung,พัทลุง,9309,Bang Kaeo,บางแก้ว
Thailand,10,Bangkok,กรุงเทพมหานคร,1006,Bang Kapi,บางกะปิ
Thailand,10,Bangkok,กรุงเทพมหานคร,1040,Bang Khae,บางแค
Thailand,80,Nakhon Si Thammarat,นครศรีธรรมราช,8017,Bang Khan,บางขัน
Thailand,10,Bangkok,กรุงเทพมหานคร,1005,Bang Khen,บางเขน
Thailand,24,Chachoengsao,ฉะเชิงเทรา,2402,Bang Khla,บางคล้า
Thailand,10,Bangkok,กรุงเทพมหานคร,1031,Bang Kho Laem,บางคอแหลม
Thailand,75,Samut Songkhram,สมุทรสงคราม,7502,Bang Khonthi,บางคนที
Thailand,10,Bangkok,กรุงเทพมหานคร,1021,Bang Khun Thian,บางขุนเทียน
Thailand,90,Songkhla,สงขลา,9014,Bang Klam,บางกล่ำ
Thailand,65,Phitsanulok,พิษณุโลก,6505,Bang Krathum,บางกระทุ่ม
Thailand,12,Nonthaburi,นนทบุรี,1202,Bang Kruai,บางกรวย
Thailand,20,Chon Buri,ชลบุรี,2004,Bang Lamung,บางละมุง
Thailand,73,Nakhon Pathom,นครปฐม,7305,Bang Len,บางเลน
Thailand,66,Phichit,พิจิตร,6605,Bang Mun Nak,บางมูลนาก
Thailand,10,Bangkok,กรุงเทพมหานคร,1047,Bang Na,บางนา
Thailand,24,Chachoengsao,ฉะเชิงเทรา,2403,Bang Nam Priao,บางน้ำเปรี้ยว
Thailand,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,1406,Bang Pa-In,บางปะอิน
Thailand,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,1407,Bang Pahan,บางปะหัน
Thailand,24,Chachoengsao,ฉะเชิงเทรา,2404,Bang Pakong,บางปะกง
Thailand,70,Ratchaburi,ราชบุรี,7006,Bang Phae,บางแพ
Thailand,10,Bangkok,กรุงเทพมหานคร,1025,Bang Phlat,บางพลัด
Thailand,11,Samut Prakan,สมุทรปราการ,1103,Bang Phli,บางพลี
Thailand,72,Suphan Buri,สุพรรณบุรี,7204,Bang Pla Ma,บางปลาม้า
Thailand,17,Sing Buri,สิงห์บุรี,1702,Bang Rachan,บางระจัน
