country_region,country_region_name,country_name,country_unsd,country_iso,date,state_code,state_name,gid_0,gid_1,case_confirmed,case_deaths,case_recovered
1,East Asia & Pacific,Australia,36,AUS,27/01/2020,1,New South Wales,AUS,AUS.5_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,28/01/2020,1,New South Wales,AUS,AUS.5_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,29/01/2020,1,New South Wales,AUS,AUS.5_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,30/01/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,31/01/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,01/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,02/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,03/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,04/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,05/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,06/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,07/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,08/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,09/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,10/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,11/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,12/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,2
1,East Asia & Pacific,Australia,36,AUS,13/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,14/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,15/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,16/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,17/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,18/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,19/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,20/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,21/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,22/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,23/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,24/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,25/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,26/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,27/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,28/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,29/02/2020,1,New South Wales,AUS,AUS.5_1,4,0,4
1,East Asia & Pacific,Australia,36,AUS,01/03/2020,1,New South Wales,AUS,AUS.5_1,6,0,4
1,East Asia & Pacific,Australia,36,AUS,02/03/2020,1,New South Wales,AUS,AUS.5_1,6,0,4
1,East Asia & Pacific,Australia,36,AUS,03/03/2020,1,New South Wales,AUS,AUS.5_1,13,0,4
1,East Asia & Pacific,Australia,36,AUS,04/03/2020,1,New South Wales,AUS,AUS.5_1,22,1,4
1,East Asia & Pacific,Australia,36,AUS,05/03/2020,1,New South Wales,AUS,AUS.5_1,22,1,4
1,East Asia & Pacific,Australia,36,AUS,06/03/2020,1,New South Wales,AUS,AUS.5_1,26,1,4
1,East Asia & Pacific,Australia,36,AUS,07/03/2020,1,New South Wales,AUS,AUS.5_1,28,1,4
1,East Asia & Pacific,Australia,36,AUS,08/03/2020,1,New South Wales,AUS,AUS.5_1,38,3,4
1,East Asia & Pacific,Australia,36,AUS,09/03/2020,1,New South Wales,AUS,AUS.5_1,48,3,4
1,East Asia & Pacific,Australia,36,AUS,10/03/2020,1,New South Wales,AUS,AUS.5_1,55,2,4
1,East Asia & Pacific,Australia,36,AUS,11/03/2020,1,New South Wales,AUS,AUS.5_1,92,2,4
1,East Asia & Pacific,Australia,36,AUS,12/03/2020,1,New South Wales,AUS,AUS.5_1,92,2,4
1,East Asia & Pacific,Australia,36,AUS,13/03/2020,1,New South Wales,AUS,AUS.5_1,92,2,4
1,East Asia & Pacific,Australia,36,AUS,14/03/2020,1,New South Wales,AUS,AUS.5_1,112,2,4
1,East Asia & Pacific,Australia,36,AUS,15/03/2020,1,New South Wales,AUS,AUS.5_1,134,2,4
1,East Asia & Pacific,Australia,36,AUS,16/03/2020,1,New South Wales,AUS,AUS.5_1,171,2,4
1,East Asia & Pacific,Australia,36,AUS,17/03/2020,1,New South Wales,AUS,AUS.5_1,210,4,4
1,East Asia & Pacific,Australia,36,AUS,18/03/2020,1,New South Wales,AUS,AUS.5_1,267,5,4
1,East Asia & Pacific,Australia,36,AUS,19/03/2020,1,New South Wales,AUS,AUS.5_1,307,5,4
1,East Asia & Pacific,Australia,36,AUS,20/03/2020,1,New South Wales,AUS,AUS.5_1,353,6,4
1,East Asia & Pacific,Australia,36,AUS,21/03/2020,1,New South Wales,AUS,AUS.5_1,436,6,4
1,East Asia & Pacific,Australia,36,AUS,22/03/2020,1,New South Wales,AUS,AUS.5_1,669,6,4
1,East Asia & Pacific,Australia,36,AUS,23/03/2020,1,New South Wales,AUS,AUS.5_1,669,6,4
1,East Asia & Pacific,Australia,36,AUS,24/03/2020,1,New South Wales,AUS,AUS.5_1,818,7,4
1,East Asia & Pacific,Australia,36,AUS,25/03/2020,1,New South Wales,AUS,AUS.5_1,1029,7,4
1,East Asia & Pacific,Australia,36,AUS,26/03/2020,1,New South Wales,AUS,AUS.5_1,1219,7,4
1,East Asia & Pacific,Australia,36,AUS,27/03/2020,1,New South Wales,AUS,AUS.5_1,1405,7,4
1,East Asia & Pacific,Australia,36,AUS,28/03/2020,1,New South Wales,AUS,AUS.5_1,1617,8,4
1,East Asia & Pacific,Australia,36,AUS,29/03/2020,1,New South Wales,AUS,AUS.5_1,1791,8,4
1,East Asia & Pacific,Australia,36,AUS,30/03/2020,1,New South Wales,AUS,AUS.5_1,2032,8,4
1,East Asia & Pacific,Australia,36,AUS,31/03/2020,1,New South Wales,AUS,AUS.5_1,2032,8,4
1,East Asia & Pacific,Australia,36,AUS,01/04/2020,1,New South Wales,AUS,AUS.5_1,2182,9,4
1,East Asia & Pacific,Australia,36,AUS,02/04/2020,1,New South Wales,AUS,AUS.5_1,2298,10,4
1,East Asia & Pacific,Australia,36,AUS,03/04/2020,1,New South Wales,AUS,AUS.5_1,2389,12,4
1,East Asia & Pacific,Australia,36,AUS,04/04/2020,1,New South Wales,AUS,AUS.5_1,2493,12,4
1,East Asia & Pacific,Australia,36,AUS,05/04/2020,1,New South Wales,AUS,AUS.5_1,2580,16,4
1,East Asia & Pacific,Australia,36,AUS,06/04/2020,1,New South Wales,AUS,AUS.5_1,2637,18,4
1,East Asia & Pacific,Australia,36,AUS,07/04/2020,1,New South Wales,AUS,AUS.5_1,2686,21,4
1,East Asia & Pacific,Australia,36,AUS,08/04/2020,1,New South Wales,AUS,AUS.5_1,2734,21,4
1,East Asia & Pacific,Australia,36,AUS,09/04/2020,1,New South Wales,AUS,AUS.5_1,2773,21,4
1,East Asia & Pacific,Australia,36,AUS,10/04/2020,1,New South Wales,AUS,AUS.5_1,2822,22,4
1,East Asia & Pacific,Australia,36,AUS,11/04/2020,1,New South Wales,AUS,AUS.5_1,2857,23,4
1,East Asia & Pacific,Australia,36,AUS,12/04/2020,1,New South Wales,AUS,AUS.5_1,2857,24,4
1,East Asia & Pacific,Australia,36,AUS,13/04/2020,1,New South Wales,AUS,AUS.5_1,2863,25,4
1,East Asia & Pacific,Australia,36,AUS,14/04/2020,1,New South Wales,AUS,AUS.5_1,2870,25,4
1,East Asia & Pacific,Australia,36,AUS,15/04/2020,1,New South Wales,AUS,AUS.5_1,2886,25,4
1,East Asia & Pacific,Australia,36,AUS,16/04/2020,1,New South Wales,AUS,AUS.5_1,2897,25,4
1,East Asia & Pacific,Australia,36,AUS,17/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,18/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,19/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,20/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,21/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,22/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,23/04/2020,1,New South Wales,AUS,AUS.5_1,2926,26,1379
1,East Asia & Pacific,Australia,36,AUS,24/04/2020,1,New South Wales,AUS,AUS.5_1,2976,31,1379
1,East Asia & Pacific,Australia,36,AUS,25/04/2020,1,New South Wales,AUS,AUS.5_1,2982,33,1379
1,East Asia & Pacific,Australia,36,AUS,26/04/2020,1,New South Wales,AUS,AUS.5_1,2994,33,2193
1,East Asia & Pacific,Australia,36,AUS,27/04/2020,1,New South Wales,AUS,AUS.5_1,3002,34,2208
1,East Asia & Pacific,Australia,36,AUS,28/04/2020,1,New South Wales,AUS,AUS.5_1,3004,34,2227
1,East Asia & Pacific,Australia,36,AUS,29/04/2020,1,New South Wales,AUS,AUS.5_1,3016,39,2266
1,East Asia & Pacific,Australia,36,AUS,30/04/2020,1,New South Wales,AUS,AUS.5_1,3016,40,2284
1,East Asia & Pacific,Australia,36,AUS,01/05/2020,1,New South Wales,AUS,AUS.5_1,3025,41,2293
1,East Asia & Pacific,Australia,36,AUS,02/05/2020,1,New South Wales,AUS,AUS.5_1,3030,41,2293
1,East Asia & Pacific,Australia,36,AUS,03/05/2020,1,New South Wales,AUS,AUS.5_1,3035,42,2306
1,East Asia & Pacific,Australia,36,AUS,04/05/2020,1,New South Wales,AUS,AUS.5_1,3033,42,2328
1,East Asia & Pacific,Australia,36,AUS,05/05/2020,1,New South Wales,AUS,AUS.5_1,3035,43,2349
1,East Asia & Pacific,Australia,36,AUS,06/05/2020,1,New South Wales,AUS,AUS.5_1,3042,44,2418
1,East Asia & Pacific,Australia,36,AUS,07/05/2020,1,New South Wales,AUS,AUS.5_1,3044,44,2463
1,East Asia & Pacific,Australia,36,AUS,08/05/2020,1,New South Wales,AUS,AUS.5_1,3047,44,2486
1,East Asia & Pacific,Australia,36,AUS,09/05/2020,1,New South Wales,AUS,AUS.5_1,3051,44,2504
1,East Asia & Pacific,Australia,36,AUS,10/05/2020,1,New South Wales,AUS,AUS.5_1,3053,44,2504
1,East Asia & Pacific,Australia,36,AUS,11/05/2020,1,New South Wales,AUS,AUS.5_1,3053,44,2517
1,East Asia & Pacific,Australia,36,AUS,12/05/2020,1,New South Wales,AUS,AUS.5_1,3053,44,2543
1,East Asia & Pacific,Australia,36,AUS,13/05/2020,1,New South Wales,AUS,AUS.5_1,3059,45,2571
1,East Asia & Pacific,Australia,36,AUS,14/05/2020,1,New South Wales,AUS,AUS.5_1,3063,45,2595
1,East Asia & Pacific,Australia,36,AUS,15/05/2020,1,New South Wales,AUS,AUS.5_1,3071,45,2605
1,East Asia & Pacific,Australia,36,AUS,27/01/2020,2,Victoria,AUS,AUS.10_1,1,0,0
1,East Asia & Pacific,Australia,36,AUS,28/01/2020,2,Victoria,AUS,AUS.10_1,1,0,0
1,East Asia & Pacific,Australia,36,AUS,29/01/2020,2,Victoria,AUS,AUS.10_1,1,0,0
1,East Asia & Pacific,Australia,36,AUS,30/01/2020,2,Victoria,AUS,AUS.10_1,2,0,0
1,East Asia & Pacific,Australia,36,AUS,31/01/2020,2,Victoria,AUS,AUS.10_1,3,0,0
1,East Asia & Pacific,Australia,36,AUS,01/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,02/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,03/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,04/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,05/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
1,East Asia & Pacific,Australia,36,AUS,06/02/2020,2,Victoria,AUS,AUS.10_1,4,0,0
