country_region,country_region_name,country_unsd,country_name,country_iso,date,case_confirmed,case_death,case_recovered,case_deaths
7,SAS,4,Afghanistan,AFG,24/02/2020,1,0,0,
7,SAS,4,Afghanistan,AFG,08/03/2020,4,0,0,
7,SAS,4,Afghanistan,AFG,10/03/2020,5,0,0,
7,SAS,4,Afghanistan,AFG,11/03/2020,7,0,0,
7,SAS,4,Afghanistan,AFG,14/03/2020,11,0,0,
7,SAS,4,Afghanistan,AFG,15/03/2020,16,0,0,
7,SAS,4,Afghanistan,AFG,16/03/2020,21,0,1,
7,SAS,4,Afghanistan,AFG,17/03/2020,22,0,1,
7,SAS,4,Afghanistan,AFG,20/03/2020,24,0,1,
7,SAS,4,Afghanistan,AFG,22/03/2020,40,1,1,
7,SAS,4,Afghanistan,AFG,23/03/2020,40,1,1,
7,SAS,4,Afghanistan,AFG,24/03/2020,74,1,1,
7,SAS,4,Afghanistan,AFG,25/03/2020,84,2,2,
7,SAS,4,Afghanistan,AFG,26/03/2020,94,4,2,
7,SAS,4,Afghanistan,AFG,27/03/2020,110,4,2,
7,SAS,4,Afghanistan,AFG,28/03/2020,110,4,2,
7,SAS,4,Afghanistan,AFG,29/03/2020,120,4,2,
7,SAS,4,Afghanistan,AFG,30/03/2020,170,4,2,
7,SAS,4,Afghanistan,AFG,31/03/2020,174,4,5,
7,SAS,4,Afghanistan,AFG,01/04/2020,237,4,5,
7,SAS,4,Afghanistan,AFG,02/04/2020,273,6,10,
7,SAS,4,Afghanistan,AFG,03/04/2020,281,6,10,
7,SAS,4,Afghanistan,AFG,04/04/2020,299,7,10,
7,SAS,4,Afghanistan,AFG,05/04/2020,349,7,15,
7,SAS,4,Afghanistan,AFG,06/04/2020,367,11,18,
7,SAS,4,Afghanistan,AFG,07/04/2020,423,14,18,
7,SAS,4,Afghanistan,AFG,08/04/2020,444,14,29,
7,SAS,4,Afghanistan,AFG,09/04/2020,484,15,32,
7,SAS,4,Afghanistan,AFG,10/04/2020,521,15,32,
7,SAS,4,Afghanistan,AFG,11/04/2020,555,18,32,
7,SAS,4,Afghanistan,AFG,12/04/2020,607,18,32,
7,SAS,4,Afghanistan,AFG,13/04/2020,665,21,32,
7,SAS,4,Afghanistan,AFG,14/04/2020,714,23,40,
7,SAS,4,Afghanistan,AFG,15/04/2020,784,25,43,
7,SAS,4,Afghanistan,AFG,16/04/2020,840,30,54,
7,SAS,4,Afghanistan,AFG,17/04/2020,906,30,99,
7,SAS,4,Afghanistan,AFG,18/04/2020,933,30,112,
7,SAS,4,Afghanistan,AFG,19/04/2020,996,33,131,
7,SAS,4,Afghanistan,AFG,20/04/2020,1026,36,135,
7,SAS,4,Afghanistan,AFG,21/04/2020,1092,36,150,
7,SAS,4,Afghanistan,AFG,22/04/2020,1176,40,166,
7,SAS,4,Afghanistan,AFG,24/04/2020,1279,42,179,
7,SAS,4,Afghanistan,AFG,25/04/2020,1351,43,188,
7,SAS,4,Afghanistan,AFG,26/04/2020,1463,47,188,
7,SAS,4,Afghanistan,AFG,27/04/2020,1531,50,207,
7,SAS,4,Afghanistan,AFG,28/04/2020,1703,57,220,
7,SAS,4,Afghanistan,AFG,29/04/2020,1828,58,228,
7,SAS,4,Afghanistan,AFG,30/04/2020,1939,60,252,
7,SAS,4,Afghanistan,AFG,01/05/2020,2171,64,260,
7,SAS,4,Afghanistan,AFG,02/05/2020,2335,68,310,
7,SAS,4,Afghanistan,AFG,03/05/2020,2469,72,331,
7,SAS,4,Afghanistan,AFG,04/05/2020,2704,85,345,
7,SAS,4,Afghanistan,AFG,05/05/2020,2894,90,397,
7,SAS,4,Afghanistan,AFG,06/05/2020,3224,95,421,
7,SAS,4,Afghanistan,AFG,07/05/2020,3392,104,458,
7,SAS,4,Afghanistan,AFG,08/05/2020,3563,106,468,
7,SAS,4,Afghanistan,AFG,09/05/2020,3778,109,472,
7,SAS,4,Afghanistan,AFG,10/05/2020,4033,115,502,
7,SAS,4,Afghanistan,AFG,11/05/2020,4402,120,558,
7,SAS,4,Afghanistan,AFG,12/05/2020,4687,122,558,
7,SAS,4,Afghanistan,AFG,13/05/2020,4963,127,610,
7,SAS,4,Afghanistan,AFG,14/05/2020,5226,132,648,
7,SAS,4,Afghanistan,AFG,15/05/2020,5639,136,691,
7,SAS,4,Afghanistan,AFG,16/05/2020,6053,153,745,
7,SAS,4,Afghanistan,AFG,17/05/2020,6402,168,745,
