country_region,country_region_name,country_unsd,country_name,country_iso,date,case_confirmed,case_deaths,case_recovered
6,South Asia,4,Afghanistan,AFG,24/02/2020,13,0,0
6,South Asia,4,Afghanistan,AFG,08/03/2020,8,0,0
6,South Asia,4,Afghanistan,AFG,10/03/2020,5,0,0
6,South Asia,4,Afghanistan,AFG,11/03/2020,21,0,0
6,South Asia,4,Afghanistan,AFG,14/03/2020,11,0,0
6,South Asia,4,Afghanistan,AFG,15/03/2020,16,0,0
6,South Asia,4,Afghanistan,AFG,16/03/2020,21,0,1
6,South Asia,4,Afghanistan,AFG,17/03/2020,66,0,3
6,South Asia,4,Afghanistan,AFG,20/03/2020,48,0,2
6,South Asia,4,Afghanistan,AFG,22/03/2020,40,1,1
6,South Asia,4,Afghanistan,AFG,23/03/2020,40,1,1
6,South Asia,4,Afghanistan,AFG,24/03/2020,74,1,1
6,South Asia,4,Afghanistan,AFG,25/03/2020,84,2,2
6,South Asia,4,Afghanistan,AFG,26/03/2020,94,4,2
6,South Asia,4,Afghanistan,AFG,27/03/2020,110,4,2
6,South Asia,4,Afghanistan,AFG,28/03/2020,110,4,2
6,South Asia,4,Afghanistan,AFG,29/03/2020,120,4,2
6,South Asia,4,Afghanistan,AFG,30/03/2020,170,4,2
6,South Asia,4,Afghanistan,AFG,31/03/2020,174,4,5
6,South Asia,4,Afghanistan,AFG,01/04/2020,237,4,5
6,South Asia,4,Afghanistan,AFG,02/04/2020,273,6,10
6,South Asia,4,Afghanistan,AFG,03/04/2020,281,6,10
6,South Asia,4,Afghanistan,AFG,04/04/2020,299,7,10
6,South Asia,4,Afghanistan,AFG,05/04/2020,349,7,15
6,South Asia,4,Afghanistan,AFG,06/04/2020,367,11,18
6,South Asia,4,Afghanistan,AFG,07/04/2020,423,14,18
6,South Asia,4,Afghanistan,AFG,08/04/2020,444,14,29
6,South Asia,4,Afghanistan,AFG,09/04/2020,484,15,32
6,South Asia,4,Afghanistan,AFG,10/04/2020,521,15,32
6,South Asia,4,Afghanistan,AFG,11/04/2020,555,18,32
6,South Asia,4,Afghanistan,AFG,12/04/2020,607,18,32
6,South Asia,4,Afghanistan,AFG,13/04/2020,665,21,32
6,South Asia,4,Afghanistan,AFG,14/04/2020,714,23,40
6,South Asia,4,Afghanistan,AFG,15/04/2020,784,25,43
2,Europe & Central Asia,8,Albania,ALB,09/03/2020,2,0,0
2,Europe & Central Asia,8,Albania,ALB,10/03/2020,10,0,0
2,Europe & Central Asia,8,Albania,ALB,11/03/2020,45,2,0
2,Europe & Central Asia,8,Albania,ALB,12/03/2020,23,1,0
2,Europe & Central Asia,8,Albania,ALB,14/03/2020,38,1,0
2,Europe & Central Asia,8,Albania,ALB,15/03/2020,42,1,0
2,Europe & Central Asia,8,Albania,ALB,16/03/2020,51,1,0
2,Europe & Central Asia,8,Albania,ALB,17/03/2020,55,1,0
2,Europe & Central Asia,8,Albania,ALB,18/03/2020,59,2,0
2,Europe & Central Asia,8,Albania,ALB,19/03/2020,64,2,0
