country_region,country_region_name,country_unsd,country_name,region_code,region_name,division_code,division_name,state_code,state_name,last_update,case_confirmed,case_deaths,case_recovered
5,North America,842,USA,3,South,6,East South Central,1,Alabama,22/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,23/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,24/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,25/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,26/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,27/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,28/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,29/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,30/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,31/01/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,01/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,02/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,03/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,04/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,05/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,06/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,07/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,08/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,09/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,10/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,11/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,12/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,13/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,14/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,15/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,16/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,17/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,18/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,19/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,20/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,21/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,22/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,23/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,24/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,25/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,26/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,27/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,28/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,29/02/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,01/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,02/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,03/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,04/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,05/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,06/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,07/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,08/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,09/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,10/03/2020,0,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,11/03/2020,5,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,12/03/2020,5,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,13/03/2020,5,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,14/03/2020,6,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,15/03/2020,12,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,16/03/2020,29,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,17/03/2020,39,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,18/03/2020,46,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,19/03/2020,78,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,20/03/2020,83,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,21/03/2020,131,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,22/03/2020,157,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,23/03/2020,196,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,24/03/2020,242,0,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,25/03/2020,381,1,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,26/03/2020,517,1,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,27/03/2020,587,4,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,28/03/2020,694,4,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,29/03/2020,825,10,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,30/03/2020,899,10,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,31/03/2020,987,15,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,01/04/2020,1060,27,0
5,North America,842,USA,3,South,6,East South Central,1,Alabama,02/04/2020,1233,27,0
